"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Illes Balears (Les)";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.78";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.66";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.43";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.49";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.1";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.08";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.99";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.01";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.68";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.59";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.17";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.98";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.98";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.82";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.76";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.61";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.63";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.61";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"85.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.69";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.02";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.63";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.26";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.72";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.51";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.39";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.78";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.45";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.11";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.28";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.58";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.53";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"85.82";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.72";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"65.37";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"67.18";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"75.29";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"66.75";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.61";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.42";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.84";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.49";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.59";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.55";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.63";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.07";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"73.58";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.15";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.75";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"69.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.64";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"72.43";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.7";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"69.83";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.4";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.17";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.82";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.11";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.11";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.96";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.09";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.68";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.43";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.35";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.87";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.18";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.12";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.52";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.12";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.37";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.45";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.98";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"59.29";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"61.45";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"68.05";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"67.42";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"62.01";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"59.37";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"65.23";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"64.3";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.18";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.42";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.25";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.58";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.01";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.43";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.81";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.67";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
