"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Internacional Isabel I de Castilla";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.01";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.31";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.43";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.3";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.26";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.18";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"74.66";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.86";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.29";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.2";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.22";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.28";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.62";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.61";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.67";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.47";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.96";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.13";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.67";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.82";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.9";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.29";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.51";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.45";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.93";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.67";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.82";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.9";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.29";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.51";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.38";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.01";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.97";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.88";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.78";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.04";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.03";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.51";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.69";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.9";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.19";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.0";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.93";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.16";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.73";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.64";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.66";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.09";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.34";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.46";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.18";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.2";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.74";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"71.97";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.55";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"82.25";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.45";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.06";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.88";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.59";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"70.03";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"62.26";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.29";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.02";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.05";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.92";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.99";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.63";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
