"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Internacional de la Empresa";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.78";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
