"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Jaén";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"76.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.59";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.51";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.9";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.41";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.54";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.56";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.14";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.91";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.19";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.56";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.5";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.85";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.81";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.49";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.24";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.55";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.9";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.7";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"96.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.72";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.26";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.98";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.81";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.54";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.94";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.9";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.96";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.19";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.82";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.56";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.09";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.11";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.99";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.5";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"81.75";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.88";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.18";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.65";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"72.44";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"73.62";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"74.99";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.64";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.65";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.53";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.75";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"71.04";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.49";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.74";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.33";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"74.07";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"72.86";"Humanidades";"Ambos Sexos";"Rendimiento"
