"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"La Laguna";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"72.18";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.06";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.73";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"73.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.97";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"83.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.02";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.81";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.7";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.97";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.76";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.41";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.45";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.49";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.64";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.9";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.87";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.05";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.33";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.86";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.14";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.21";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.57";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.59";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.87";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.23";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.31";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.49";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"73.41";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"73.19";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
