"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Las Palmas de Gran Canaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"75.85";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.7";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.43";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.49";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.99";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.36";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.53";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.31";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.52";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.2";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.56";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.02";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.14";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
