"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Loyola Andalucía";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.26";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.27";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.21";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.72";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.72";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.24";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.35";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.6";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.45";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.19";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.96";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.04";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.4";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"97.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.44";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
