"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Miguel Hernández de Elche";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.88";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"75.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.37";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.44";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.13";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.53";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.31";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.61";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.47";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.68";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.86";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.21";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.35";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.49";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.06";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.29";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.92";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.69";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.79";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.88";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.49";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.87";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.41";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.41";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.22";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.23";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.11";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.68";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.99";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"86.66";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.15";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.64";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.45";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.49";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.59";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.38";"Psicología";"Ambos Sexos";"Rendimiento"
