"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Navarra";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.54";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.59";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.22";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.62";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.64";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.21";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.26";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.73";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.97";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.94";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.68";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.57";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.23";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.93";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.99";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.75";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"98.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.03";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.1";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.47";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"82.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.04";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.74";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.62";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.42";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.44";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.09";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.86";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.93";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.03";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.88";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.74";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.86";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.61";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.76";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.34";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.01";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.48";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.67";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.85";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.74";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.46";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.3";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.17";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.69";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.61";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.4";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.37";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.29";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.71";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.85";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.53";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.67";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.87";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"95.78";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.5";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"97.71";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.92";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.61";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.52";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.31";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.27";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.86";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.61";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.02";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.23";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.85";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.91";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.62";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.53";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.78";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.74";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.94";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.4";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.59";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.1";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.13";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.89";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.75";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.85";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.2";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.22";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.61";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.4";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.77";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.54";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.09";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.86";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.35";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.05";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.82";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.94";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.87";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.81";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.28";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.64";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.84";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.34";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.72";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.65";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.4";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.67";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.24";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.35";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.73";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.11";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.9";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.73";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.64";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.88";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.71";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.2";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.76";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.38";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.25";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.26";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.73";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.6";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.83";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.1";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.81";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.69";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.93";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"89.7";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.41";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.51";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.03";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.54";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.01";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.78";"Total Ciencias";"Ambos Sexos";"Rendimiento"
