"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Pablo de Olavide";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.19";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"85.2";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.24";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.94";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"81.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.12";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.04";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.13";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.33";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.46";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.01";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.74";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.04";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"96.33";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.46";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.07";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.01";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.74";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.54";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.55";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.03";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.42";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.57";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.82";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.95";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.16";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.74";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.6";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.24";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.27";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.63";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.91";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.84";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"86.95";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.5";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.28";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.82";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.63";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.76";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.1";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.94";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.66";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"87.85";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.78";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.86";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.05";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.48";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.19";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.7";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"86.8";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.29";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"81.71";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"82.01";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.94";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.55";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"59.15";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"57.41";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"58.25";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"69.98";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"62.64";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"59.99";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"61.69";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"61.79";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.69";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.19";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.28";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.93";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.02";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.52";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.14";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.09";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.17";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.81";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.56";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.63";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.39";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.13";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.29";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.69";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.57";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.41";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.2";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.4";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"76.68";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.03";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.96";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.0";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"73.59";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.89";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.38";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"72.61";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.95";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"70.6";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"74.66";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"60.03";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"52.49";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"59.38";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"68.11";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"58.75";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2017-2018";"58.08";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2016-2017";"57.47";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2015-2016";"60.2";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.72";"Derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.05";"Derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.33";"Derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.86";"Derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.44";"Derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.97";"Derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.77";"Derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"82.43";"Derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.96";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.34";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.27";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.19";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.18";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.41";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.3";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.54";"Total Ciencias";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.96";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.34";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.27";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.19";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.18";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.41";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.3";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.54";"Ciencias de la vida";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Ciencias Físicas, químicas, geológicas";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2018-2019";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2017-2018";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2016-2017";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2015-2016";"..";"Matemáticas y Estadística";"Ambos Sexos";"Rendimiento"
"2022-2023";"66.22";"Total Informática";"Ambos Sexos";"Rendimiento"
"2021-2022";"56.97";"Total Informática";"Ambos Sexos";"Rendimiento"
"2020-2021";"61.88";"Total Informática";"Ambos Sexos";"Rendimiento"
"2019-2020";"67.84";"Total Informática";"Ambos Sexos";"Rendimiento"
"2018-2019";"59.17";"Total Informática";"Ambos Sexos";"Rendimiento"
"2017-2018";"61.33";"Total Informática";"Ambos Sexos";"Rendimiento"
"2016-2017";"57.25";"Total Informática";"Ambos Sexos";"Rendimiento"
"2015-2016";"62.25";"Total Informática";"Ambos Sexos";"Rendimiento"
"2022-2023";"66.22";"Informática";"Ambos Sexos";"Rendimiento"
