"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"País Vasco/Euskal Herriko Unibertsitatea";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.9";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.71";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.75";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.67";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.85";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.78";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.07";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.79";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.01";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.84";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.08";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.98";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.5";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.89";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.95";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.07";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.76";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.41";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.48";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.76";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.2";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.34";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.76";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.23";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.92";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.34";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.52";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.39";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.21";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"94.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"83.32";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"82.1";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
