"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Pontificia de Salamanca";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"86.5";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.31";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.32";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.28";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.05";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.8";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.1";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.45";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.25";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.14";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.14";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.35";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.02";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.09";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"95.95";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.37";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"96.03";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"96.22";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.1";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.74";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.35";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.33";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.58";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.85";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.55";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.68";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.12";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.61";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.85";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.69";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"87.84";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.01";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.62";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.7";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.44";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.31";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.08";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.49";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.01";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.62";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.69";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.91";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.56";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.84";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
