"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Pública de Navarra";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.7";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"81.4";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"83.09";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.37";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.42";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.28";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.3";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.06";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.94";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.59";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.64";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.17";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.23";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"87.56";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
