"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Rey Juan Carlos";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"78.6";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.63";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.08";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.84";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.61";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.18";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.32";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.45";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.23";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.39";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.04";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.04";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.01";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.8";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.12";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.98";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.18";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"92.82";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.59";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"91.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.77";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"..";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
