"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Santiago de Compostela";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.13";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"78.86";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"88.5";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.1";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.46";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.83";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"76.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"93.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.15";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.52";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"91.19";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.73";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"96.17";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"95.1";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.73";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.97";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.96";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.78";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.71";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.22";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"92.61";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.63";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.42";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.34";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.21";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.64";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.35";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.24";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.0";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.6";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.04";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.26";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.58";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"76.92";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.71";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.26";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.98";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.07";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.67";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
