"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Sevilla";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.96";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.68";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"73.85";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"79.33";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"71.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"72.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.0";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.54";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.22";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.87";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"88.42";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.23";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.96";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.72";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"96.2";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"97.0";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"97.49";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.92";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.59";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"95.41";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"95.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.68";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.93";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.16";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.26";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.21";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.84";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.97";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.94";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.13";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"90.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"91.2";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"90.99";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"91.86";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"71.67";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.95";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"74.45";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"80.13";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"71.43";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"72.0";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"73.17";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"73.64";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.28";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"89.59";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.03";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.85";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"86.63";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.83";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.7";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.46";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"73.51";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"74.56";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"77.57";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"81.41";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"75.72";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.74";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.33";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.15";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"66.27";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"62.68";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"67.88";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"77.31";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"63.71";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"67.03";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"67.11";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"67.19";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"67.79";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"67.55";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"70.3";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.03";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"67.94";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"67.71";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"69.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"69.77";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.22";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"76.67";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.37";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.87";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.14";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.56";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"79.08";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.78";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.7";"Psicología";"Ambos Sexos";"Rendimiento"
"2021-2022";"85.57";"Psicología";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.66";"Psicología";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.66";"Psicología";"Ambos Sexos";"Rendimiento"
"2018-2019";"85.88";"Psicología";"Ambos Sexos";"Rendimiento"
"2017-2018";"85.81";"Psicología";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.84";"Psicología";"Ambos Sexos";"Rendimiento"
"2015-2016";"87.76";"Psicología";"Ambos Sexos";"Rendimiento"
"2022-2023";"61.36";"Economía";"Ambos Sexos";"Rendimiento"
"2021-2022";"54.72";"Economía";"Ambos Sexos";"Rendimiento"
"2020-2021";"62.2";"Economía";"Ambos Sexos";"Rendimiento"
"2019-2020";"68.0";"Economía";"Ambos Sexos";"Rendimiento"
"2018-2019";"53.84";"Economía";"Ambos Sexos";"Rendimiento"
"2017-2018";"57.2";"Economía";"Ambos Sexos";"Rendimiento"
"2016-2017";"56.85";"Economía";"Ambos Sexos";"Rendimiento"
"2015-2016";"62.42";"Economía";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.06";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.81";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.16";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.03";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2018-2019";"82.78";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.59";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.94";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2015-2016";"81.17";"Otras Ciencias sociales y del comportamiento";"Ambos Sexos";"Rendimiento"
"2022-2023";"78.01";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2021-2022";"80.25";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.7";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2019-2020";"87.07";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.81";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.84";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2016-2017";"82.78";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.74";"Periodismo e información";"Ambos Sexos";"Rendimiento"
"2022-2023";"66.63";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2021-2022";"64.96";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2020-2021";"69.31";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2019-2020";"76.46";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2018-2019";"65.74";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2017-2018";"65.83";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2016-2017";"66.64";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2015-2016";"67.92";"Total Negocios, administración y derecho";"Ambos Sexos";"Rendimiento"
"2022-2023";"56.79";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2021-2022";"55.74";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2020-2021";"62.35";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2019-2020";"70.89";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2018-2019";"58.0";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2017-2018";"57.77";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2016-2017";"60.16";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2015-2016";"62.82";"Administración y gestión de empresas";"Ambos Sexos";"Rendimiento"
"2022-2023";"67.83";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2021-2022";"65.37";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2020-2021";"67.76";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2019-2020";"72.96";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
"2018-2019";"65.44";"Otra Educación comercial y empresarial";"Ambos Sexos";"Rendimiento"
