"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"79.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"84.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"77.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.82";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"77.7";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.69";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.72";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.2";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.46";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.51";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.5";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"89.69";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"89.45";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.32";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.05";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.91";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.08";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.31";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"92.3";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"92.47";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.13";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"91.24";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"93.01";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.06";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.92";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"90.04";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.92";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.24";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"85.75";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"83.78";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.29";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"89.42";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"83.55";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"83.82";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"83.68";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"79.08";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"77.47";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.99";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.78";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"78.08";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"78.28";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.15";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"78.2";"Total Artes y humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.91";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2021-2022";"88.62";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2020-2021";"90.03";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.9";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2018-2019";"88.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.69";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2016-2017";"88.15";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2015-2016";"88.14";"Técnicas audiovisuales y medios de comunicación";"Ambos Sexos";"Rendimiento"
"2022-2023";"81.85";"Artes";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.86";"Artes";"Ambos Sexos";"Rendimiento"
"2020-2021";"82.9";"Artes";"Ambos Sexos";"Rendimiento"
"2019-2020";"85.19";"Artes";"Ambos Sexos";"Rendimiento"
"2018-2019";"80.58";"Artes";"Ambos Sexos";"Rendimiento"
"2017-2018";"80.9";"Artes";"Ambos Sexos";"Rendimiento"
"2016-2017";"80.86";"Artes";"Ambos Sexos";"Rendimiento"
"2015-2016";"80.74";"Artes";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.08";"Lenguas";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.57";"Lenguas";"Ambos Sexos";"Rendimiento"
"2020-2021";"79.48";"Lenguas";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.16";"Lenguas";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.89";"Lenguas";"Ambos Sexos";"Rendimiento"
"2017-2018";"77.27";"Lenguas";"Ambos Sexos";"Rendimiento"
"2016-2017";"76.83";"Lenguas";"Ambos Sexos";"Rendimiento"
"2015-2016";"77.26";"Lenguas";"Ambos Sexos";"Rendimiento"
"2022-2023";"72.72";"Humanidades";"Ambos Sexos";"Rendimiento"
"2021-2022";"70.55";"Humanidades";"Ambos Sexos";"Rendimiento"
"2020-2021";"75.46";"Humanidades";"Ambos Sexos";"Rendimiento"
"2019-2020";"78.44";"Humanidades";"Ambos Sexos";"Rendimiento"
"2018-2019";"70.46";"Humanidades";"Ambos Sexos";"Rendimiento"
"2017-2018";"70.8";"Humanidades";"Ambos Sexos";"Rendimiento"
"2016-2017";"71.21";"Humanidades";"Ambos Sexos";"Rendimiento"
"2015-2016";"71.25";"Humanidades";"Ambos Sexos";"Rendimiento"
"2022-2023";"77.39";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2021-2022";"75.46";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2020-2021";"80.85";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2019-2020";"83.41";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2018-2019";"76.19";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2017-2018";"75.82";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
"2016-2017";"75.63";"Total Ciencias sociales, periodismo y documentación";"Ambos Sexos";"Rendimiento"
