"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Universidades Privadas Presenciales";"Ambos Sexos";"Rendimiento"
"2022-2023";"88.23";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"87.02";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"88.79";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"91.38";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"87.44";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"87.29";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"86.92";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"86.81";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.81";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.4";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.27";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.82";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.29";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.86";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.42";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.39";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.21";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"92.64";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"94.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.02";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.88";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.06";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.25";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2022-2023";"95.07";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2021-2022";"93.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.54";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.15";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.46";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.8";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.56";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.43";"Formación de docentes de enseñanza primaria";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.41";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.91";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.66";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"95.47";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"93.79";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"94.37";"Otra Formación de personal docente y ciencias de la educación";"Ambos Sexos";"Rendimiento"
