"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"Valladolid";"Ambos Sexos";"Rendimiento"
"2022-2023";"80.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"79.53";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"81.57";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"86.15";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"79.62";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"79.98";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"78.8";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"79.49";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"90.75";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.38";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"91.93";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"93.7";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"89.7";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"89.6";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"89.85";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"90.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"91.34";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"90.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2020-2021";"92.63";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2019-2020";"94.42";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2018-2019";"92.53";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2017-2018";"92.43";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2016-2017";"93.51";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.72";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
