"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2022-2023";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2021-2022";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2020-2021";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2019-2020";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2018-2019";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2017-2018";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2016-2017";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2015-2016";"???";"València (Estudi General)";"Ambos Sexos";"Rendimiento"
"2022-2023";"84.95";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2021-2022";"84.25";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2020-2021";"84.52";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2019-2020";"90.67";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2018-2019";"84.48";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2017-2018";"84.56";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2016-2017";"84.45";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2015-2016";"84.11";"Todos los ámbitos";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.49";"Total Educación";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.56";"Total Educación";"Ambos Sexos";"Rendimiento"
"2020-2021";"95.12";"Total Educación";"Ambos Sexos";"Rendimiento"
"2019-2020";"96.44";"Total Educación";"Ambos Sexos";"Rendimiento"
"2018-2019";"94.16";"Total Educación";"Ambos Sexos";"Rendimiento"
"2017-2018";"93.92";"Total Educación";"Ambos Sexos";"Rendimiento"
"2016-2017";"94.02";"Total Educación";"Ambos Sexos";"Rendimiento"
"2015-2016";"93.7";"Total Educación";"Ambos Sexos";"Rendimiento"
"2022-2023";"94.77";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
"2021-2022";"94.67";"Formación de docentes de enseñanza infantil";"Ambos Sexos";"Rendimiento"
