;Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;
;Tasa de rendimiento;;;;;;;;Tasa de éxito;;;;;;;;Tasa de evaluación;;;;;;;;Tasa de rendimiento;;;;;;;;Tasa de éxito;;;;;;;;Tasa de evaluación;;;;;;;;Tasa de rendimiento;;;;;;;;Tasa de éxito;;;;;;;;Tasa de evaluación;;;;;;;;
;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;2022-2023;2021-2022;2020-2021;2019-2020;2018-2019;2017-2018;2016-2017;2015-2016;
Todas las universidades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Todos los ámbitos;79.02;77.45;80.45;84.56;77.98;77.82;77.7;77.69;88.48;87.9;89.08;91.86;88.14;87.97;87.79;87.97;89.31;88.11;90.31;92.05;88.47;88.47;88.5;88.31;74.18;72.37;75.03;79.87;72.82;72.49;72.52;72.45;85.65;85.0;86.05;89.25;85.25;84.9;84.79;84.93;86.61;85.15;87.2;89.49;85.43;85.39;85.53;85.3;82.58;81.26;84.55;88.17;82.02;82.02;81.83;81.91;90.46;89.95;91.24;93.77;90.27;90.24;90.05;90.27;91.29;90.34;92.67;94.02;90.86;90.9;90.87;90.74;
    Total Educación;89.72;90.2;92.46;93.51;89.39;89.69;89.5;89.69;95.28;95.18;96.17;97.0;94.83;94.95;94.85;95.15;94.17;94.77;96.14;96.4;94.27;94.46;94.36;94.26;85.45;85.76;88.26;89.82;84.12;84.29;84.41;85.01;92.96;92.77;93.97;95.13;92.06;92.07;92.12;92.77;91.93;92.45;93.92;94.42;91.38;91.55;91.64;91.63;90.9;91.47;93.65;94.55;90.9;91.21;90.95;91.06;95.9;95.85;96.78;97.51;95.6;95.73;95.6;95.82;94.78;95.43;96.77;96.96;95.09;95.27;95.14;95.03;
    Formación de docentes de enseñanza infantil;89.45;92.32;94.05;94.91;92.08;92.31;92.3;92.47;95.47;95.67;96.7;97.51;95.67;95.9;95.86;96.03;93.69;96.49;97.26;97.34;96.25;96.26;96.28;96.29;83.04;85.68;88.22;89.56;84.88;85.14;85.49;85.1;91.94;91.88;93.62;94.93;91.74;92.4;92.15;92.44;90.32;93.26;94.24;94.34;92.53;92.13;92.78;92.06;90.1;92.95;94.59;95.38;92.67;92.88;92.82;93.01;95.82;96.02;96.98;97.73;95.97;96.16;96.14;96.28;94.03;96.8;97.54;97.6;96.56;96.59;96.55;96.61;
    Formación de docentes de enseñanza primaria;91.13;91.24;93.01;94.06;89.92;90.04;89.92;90.24;95.35;95.11;96.07;96.93;94.42;94.48;94.33;94.76;95.58;95.93;96.82;97.04;95.23;95.31;95.33;95.24;86.68;87.13;89.26;90.83;85.4;85.29;85.65;86.46;93.08;92.88;93.99;95.23;91.96;91.88;91.98;92.74;93.12;93.8;94.97;95.38;92.87;92.83;93.12;93.22;93.11;93.2;94.75;95.57;92.09;92.26;92.0;92.12;96.31;96.14;97.0;97.7;95.56;95.64;95.44;95.73;96.67;96.94;97.68;97.82;96.38;96.46;96.4;96.24;
    Otra Formación de personal docente y ciencias de la educación;85.75;83.78;88.29;89.42;83.55;84.37;83.82;83.68;94.69;94.5;95.58;96.28;94.6;94.74;94.6;94.83;90.56;88.66;92.37;92.88;88.32;89.05;88.6;88.24;80.43;78.08;82.99;84.43;76.94;78.43;77.24;77.21;93.26;92.94;94.16;94.66;92.84;92.94;92.9;93.14;86.24;84.01;88.13;89.19;82.88;84.39;83.14;82.9;86.73;84.88;89.38;90.45;84.95;85.61;85.21;85.07;94.94;94.78;95.86;96.6;94.95;95.1;94.94;95.17;91.36;89.55;93.24;93.64;89.47;90.02;89.76;89.39;
    Total Artes y humanidades;79.08;77.47;80.99;83.78;78.08;78.28;78.15;78.2;91.33;91.01;92.19;93.55;91.17;91.21;91.0;91.2;86.58;85.13;87.85;89.56;85.64;85.82;85.87;85.75;75.07;73.6;77.38;80.11;74.12;74.48;74.52;74.37;90.29;90.15;91.36;92.47;90.19;90.17;90.08;90.23;83.15;81.64;84.7;86.63;82.18;82.61;82.72;82.42;81.25;79.68;83.1;85.98;80.49;80.6;80.4;80.59;91.86;91.46;92.65;94.17;91.73;91.8;91.53;91.76;88.45;87.12;89.69;91.3;87.75;87.79;87.83;87.83;
    Técnicas audiovisuales y medios de comunicación;88.91;88.62;90.03;90.9;88.14;87.69;88.15;88.14;94.63;94.62;95.27;95.96;94.09;94.32;94.29;94.15;93.95;93.67;94.5;94.72;93.68;92.98;93.48;93.61;86.31;85.64;87.31;88.49;85.52;85.05;85.36;85.26;93.16;92.99;93.72;94.47;92.4;92.86;92.86;93.03;92.65;92.09;93.15;93.66;92.55;91.59;91.93;91.64;90.79;90.99;92.37;93.07;90.67;90.26;90.87;90.88;95.67;95.87;96.56;97.28;95.68;95.69;95.65;95.18;94.9;94.91;95.65;95.67;94.76;94.33;95.0;95.48;
    Artes;81.85;79.86;82.9;85.19;80.58;80.9;80.86;80.74;93.88;93.41;94.22;94.97;93.48;93.41;93.33;93.42;87.18;85.49;87.99;89.7;86.2;86.61;86.63;86.43;77.63;76.18;79.15;81.44;76.6;77.75;77.74;77.86;92.95;92.76;93.44;93.84;92.53;92.57;92.45;92.39;83.51;82.13;84.71;86.78;82.78;83.99;84.09;84.28;83.26;81.18;84.31;86.64;82.21;82.25;82.23;82.08;94.18;93.63;94.5;95.39;93.84;93.76;93.71;93.88;88.41;86.71;89.22;90.83;87.6;87.72;87.75;87.43;
    Lenguas;77.08;75.57;79.48;83.16;76.89;77.27;76.83;77.26;89.01;88.64;90.21;92.3;89.32;89.59;89.25;89.68;86.6;85.26;88.11;90.1;86.08;86.24;86.09;86.14;71.83;70.21;74.23;77.26;71.24;71.62;71.38;71.44;87.45;87.24;88.97;90.66;87.94;88.08;87.93;88.11;82.14;80.48;83.43;85.22;81.01;81.31;81.17;81.08;78.69;77.25;81.15;85.06;78.74;79.14;78.68;79.25;89.46;89.05;90.58;92.79;89.74;90.06;89.66;90.18;87.96;86.75;89.59;91.67;87.74;87.87;87.75;87.87;
    Humanidades;72.72;70.55;75.46;78.44;70.46;70.8;71.21;71.25;89.76;89.5;91.08;92.39;89.65;89.33;89.31;89.63;81.01;78.82;82.85;84.9;78.6;79.25;79.73;79.49;70.71;68.68;73.67;77.0;68.72;69.25;69.72;69.63;89.3;89.14;90.6;91.87;89.16;88.74;88.79;89.15;79.18;77.05;81.31;83.82;77.08;78.04;78.52;78.11;75.75;73.47;78.36;80.88;73.46;73.5;73.8;74.04;90.43;90.04;91.82;93.25;90.45;90.33;90.19;90.43;83.77;81.6;85.34;86.73;81.22;81.37;81.83;81.88;
    Total Ciencias sociales, periodismo y documentación;77.39;75.46;80.85;83.41;76.19;75.82;75.63;75.15;89.75;88.95;91.0;92.71;89.32;88.96;88.88;88.74;86.23;84.83;88.85;89.96;85.3;85.23;85.1;84.68;74.04;72.05;76.99;79.86;72.15;71.88;71.96;71.47;87.9;87.27;89.15;90.95;87.5;87.09;87.08;87.0;84.24;82.56;86.36;87.81;82.46;82.54;82.64;82.16;79.25;77.41;83.1;85.51;78.65;78.25;77.94;77.52;90.74;89.88;92.03;93.72;90.37;90.06;89.96;89.81;87.33;86.12;90.3;91.24;87.03;86.89;86.65;86.31;
    Psicología;74.98;71.78;79.62;82.38;74.34;74.12;73.03;72.18;89.68;88.05;90.69;92.89;89.02;88.61;88.53;88.35;83.61;81.53;87.8;88.68;83.51;83.64;82.5;81.7;69.91;66.84;74.85;77.56;68.7;68.93;68.4;67.97;87.94;86.49;88.95;91.32;87.09;86.68;86.92;87.02;79.5;77.28;84.16;84.93;78.88;79.52;78.7;78.11;76.4;73.23;81.05;83.86;76.12;75.8;74.6;73.66;90.14;88.47;91.18;93.35;89.59;89.2;89.04;88.79;84.76;82.77;88.89;89.83;84.97;84.98;83.78;82.96;
    Economía;70.3;68.03;72.16;77.37;68.25;68.06;67.65;67.59;82.25;81.26;83.47;86.55;81.61;81.49;81.26;81.16;85.46;83.71;86.45;89.39;83.63;83.52;83.26;83.28;67.67;65.05;69.38;75.07;66.21;65.95;65.49;64.86;81.04;79.98;82.16;85.52;80.99;80.72;80.35;80.03;83.51;81.34;84.44;87.78;81.75;81.71;81.5;81.05;74.2;72.65;76.49;80.98;71.52;71.43;71.11;71.78;83.96;83.12;85.39;88.09;82.55;82.67;82.63;82.78;88.38;87.41;89.58;91.93;86.63;86.41;86.06;86.7;
    Otras Ciencias sociales y del comportamiento;80.06;79.05;83.33;84.47;77.75;77.11;78.61;78.29;91.86;91.78;93.37;94.19;91.67;91.26;91.46;91.62;87.16;86.13;89.26;89.69;84.81;84.49;85.95;85.45;77.14;75.75;80.23;81.39;73.97;73.73;75.12;74.64;91.0;90.98;92.39;93.14;90.63;90.16;90.46;90.64;84.77;83.26;86.83;87.38;81.62;81.78;83.04;82.35;81.95;81.22;85.45;86.62;80.54;79.73;81.44;81.36;92.38;92.28;94.0;94.88;92.39;92.07;92.21;92.38;88.7;88.02;90.91;91.29;87.17;86.6;88.31;88.07;
    Periodismo e información;86.57;86.27;88.61;90.14;85.95;85.67;85.62;85.63;93.21;93.12;94.68;95.62;93.27;93.23;93.18;92.97;92.88;92.64;93.59;94.27;92.15;91.89;91.89;92.11;83.93;83.39;85.82;87.71;83.19;82.56;82.79;82.75;91.72;91.55;93.4;94.45;92.02;91.95;92.01;91.72;91.51;91.08;91.88;92.87;90.41;89.79;89.99;90.22;88.58;88.4;90.61;91.79;87.74;87.63;87.38;87.41;94.32;94.25;95.57;96.4;94.06;94.0;93.88;93.71;93.91;93.8;94.82;95.22;93.28;93.22;93.07;93.27;
    Total Negocios, administración y derecho;75.77;73.21;77.7;82.61;73.91;73.59;73.5;73.53;86.17;85.05;86.94;90.42;85.65;85.32;85.21;85.54;87.93;86.09;89.37;91.35;86.28;86.26;86.26;85.96;72.97;70.02;74.39;79.85;70.84;70.34;70.47;70.33;84.77;83.43;85.27;89.09;84.27;83.75;83.8;84.0;86.07;83.94;87.24;89.63;84.07;83.99;84.09;83.72;78.05;75.83;80.45;84.93;76.52;76.41;76.15;76.32;87.26;86.31;88.27;91.51;86.78;86.61;86.39;86.81;89.44;87.85;91.14;92.8;88.18;88.22;88.15;87.92;
    Administración y gestión de empresas;75.17;72.38;76.1;81.12;72.72;72.26;72.05;71.99;85.02;83.66;85.37;89.0;84.15;83.74;83.76;83.87;88.41;86.52;89.14;91.15;86.42;86.29;86.02;85.83;72.78;69.53;73.01;78.77;69.88;69.21;69.23;69.12;83.63;82.04;83.64;87.7;82.68;82.03;82.26;82.29;87.02;84.75;87.29;89.82;84.52;84.37;84.16;83.99;77.71;75.39;79.35;83.6;75.72;75.49;75.01;74.92;86.45;85.3;87.11;90.33;85.64;85.47;85.26;85.42;89.9;88.38;91.09;92.56;88.42;88.32;87.98;87.7;
    Otra Educación comercial y empresarial;80.28;78.02;81.31;84.75;77.8;77.66;77.7;77.79;89.07;87.97;89.42;91.87;87.46;87.23;86.9;86.8;90.13;88.69;90.94;92.25;88.96;89.02;89.41;89.62;73.76;71.09;74.92;79.47;71.34;70.97;71.67;71.8;85.61;84.19;85.85;89.06;84.02;83.67;83.59;83.42;86.16;84.43;87.27;89.23;84.9;84.83;85.75;86.08;84.59;82.75;85.64;88.33;82.29;82.36;82.01;82.14;91.19;90.34;91.67;93.67;89.66;89.55;89.12;89.09;92.76;91.6;93.43;94.3;91.78;91.97;92.03;92.2;
    Derecho;74.63;72.22;78.1;83.46;73.73;73.55;73.6;73.76;86.37;85.47;87.74;91.48;86.63;86.35;86.22;86.99;86.41;84.49;89.01;91.23;85.11;85.18;85.37;84.79;72.94;70.35;76.18;81.55;71.96;71.64;71.7;71.41;86.36;85.31;87.4;91.09;86.56;86.12;85.96;86.52;84.46;82.46;87.16;89.52;83.13;83.18;83.41;82.54;75.69;73.44;79.4;84.8;75.01;74.98;75.05;75.57;86.38;85.58;87.97;91.75;86.68;86.52;86.41;87.33;87.63;85.82;90.26;92.43;86.54;86.67;86.85;86.53;
    Total Ciencias;76.43;74.72;75.63;82.26;74.93;74.48;74.24;73.54;86.2;85.67;85.5;90.16;85.44;84.88;84.51;84.18;88.67;87.22;88.46;91.24;87.69;87.75;87.85;87.36;74.52;72.78;73.32;79.36;72.74;72.06;71.46;70.58;86.02;85.58;85.16;89.21;85.18;84.35;83.74;83.26;86.63;85.05;86.09;88.96;85.39;85.43;85.34;84.77;78.3;76.65;77.97;85.19;77.14;76.91;77.04;76.54;86.36;85.76;85.81;91.08;85.69;85.39;85.24;85.06;90.67;89.38;90.86;93.54;90.02;90.07;90.38;89.99;
    Ciencias de la vida;81.24;79.51;81.25;88.0;80.72;80.39;80.52;79.81;88.26;87.65;87.93;93.07;88.21;87.83;87.85;87.5;92.05;90.71;92.4;94.55;91.51;91.53;91.66;91.22;78.35;76.66;78.31;85.49;78.33;77.67;77.54;76.51;86.96;86.47;86.52;91.83;87.33;86.51;86.38;85.82;90.09;88.66;90.5;93.1;89.7;89.79;89.77;89.15;83.0;81.3;83.18;89.67;82.34;82.25;82.6;82.13;89.02;88.36;88.83;93.88;88.79;88.71;88.84;88.63;93.23;92.01;93.64;95.52;92.74;92.72;92.98;92.67;
    Ciencias Físicas, químicas, geológicas;71.62;69.92;70.52;77.86;70.43;69.8;69.26;68.69;82.8;82.3;81.93;87.1;82.37;81.67;80.84;80.6;86.5;84.96;86.07;89.4;85.51;85.46;85.67;85.22;71.9;70.03;70.34;76.51;70.15;69.37;68.62;68.1;84.2;83.52;83.2;87.27;83.44;82.53;81.63;81.34;85.39;83.85;84.55;87.66;84.07;84.06;84.06;83.72;71.26;69.78;70.75;79.68;70.81;70.38;70.15;69.52;81.0;80.73;80.31;86.87;80.95;80.53;79.79;79.59;87.97;86.44;88.1;91.73;87.47;87.4;87.91;87.35;
    Matemáticas y Estadística;74.08;72.43;71.86;76.23;68.38;67.09;65.58;64.39;87.28;86.95;86.03;88.33;83.86;82.66;81.78;81.23;84.88;83.29;83.53;86.3;81.54;81.16;80.2;79.27;73.51;71.83;70.9;74.4;67.58;66.23;64.25;62.55;87.63;87.7;86.42;88.14;84.56;83.7;82.43;81.67;83.88;81.91;82.04;84.41;79.93;79.12;77.95;76.58;75.04;73.42;73.49;79.29;69.64;68.42;67.65;67.18;86.71;85.76;85.4;88.63;82.8;81.17;80.84;80.62;86.54;85.61;86.06;89.45;84.11;84.29;83.68;83.33;
    Total Informática;71.59;69.14;69.55;73.58;67.28;66.21;64.57;63.94;83.63;82.54;82.59;85.14;81.13;80.46;79.14;79.6;85.6;83.77;84.21;86.43;82.92;82.29;81.59;80.33;71.21;68.81;69.21;73.14;66.96;65.93;64.39;63.48;83.53;82.5;82.49;84.99;81.05;80.41;79.12;79.42;85.25;83.41;83.9;86.06;82.62;81.99;81.39;79.93;73.53;70.95;71.57;76.4;69.37;68.21;65.94;67.48;84.14;82.7;83.17;86.04;81.65;80.74;79.33;80.91;87.39;85.79;86.06;88.8;84.96;84.48;83.11;83.39;
    Informática;71.59;69.14;69.55;73.58;67.28;66.21;64.57;63.94;83.63;82.54;82.59;85.14;81.13;80.46;79.14;79.6;85.6;83.77;84.21;86.43;82.92;82.29;81.59;80.33;71.21;68.81;69.21;73.14;66.96;65.93;64.39;63.48;83.53;82.5;82.49;84.99;81.05;80.41;79.12;79.42;85.25;83.41;83.9;86.06;82.62;81.99;81.39;79.93;73.53;70.95;71.57;76.4;69.37;68.21;65.94;67.48;84.14;82.7;83.17;86.04;81.65;80.74;79.33;80.91;87.39;85.79;86.06;88.8;84.96;84.48;83.11;83.39;
    Total Ingeniería, industria y construcción;67.07;65.63;67.1;74.26;67.59;67.42;68.01;68.41;79.11;78.55;79.22;84.16;79.68;79.56;79.67;79.88;84.78;83.55;84.7;88.25;84.83;84.75;85.36;85.64;65.22;63.73;65.11;72.3;65.88;65.6;66.16;66.51;78.09;77.53;78.13;83.02;78.76;78.57;78.73;78.88;83.52;82.2;83.33;87.08;83.64;83.49;84.04;84.31;71.05;69.85;71.7;78.92;71.76;71.89;72.58;73.17;81.2;80.72;81.59;86.72;81.81;81.86;81.88;82.24;87.5;86.54;87.88;91.01;87.71;87.81;88.64;88.96;
    Ingenierías;66.9;65.5;66.96;74.4;67.39;67.08;67.67;67.8;78.65;77.97;78.66;83.8;79.03;78.66;78.91;79.04;85.06;84.01;85.13;88.78;85.27;85.28;85.75;85.79;65.5;64.01;65.34;72.71;66.07;65.65;66.2;66.32;77.97;77.26;77.88;82.89;78.43;78.03;78.29;78.39;84.0;82.85;83.91;87.71;84.25;84.14;84.56;84.6;70.61;69.48;71.39;79.17;71.2;71.22;72.0;72.29;80.37;79.76;80.69;86.24;80.7;80.41;80.65;80.88;87.86;87.11;88.47;91.8;88.23;88.57;89.27;89.38;
    Arquitectura y construcción;67.78;66.19;67.73;73.64;68.45;68.83;69.32;70.5;81.06;81.19;81.83;85.78;82.57;83.38;82.65;82.81;83.62;81.52;82.77;85.84;82.91;82.55;83.87;85.13;63.59;62.0;63.63;69.83;64.76;65.3;65.99;67.34;78.85;79.22;79.79;83.84;80.76;81.63;81.02;81.08;80.64;78.26;79.75;83.29;80.18;80.0;81.45;83.06;72.07;70.78;72.54;78.29;73.2;73.52;73.91;75.01;83.16;83.18;84.03;88.01;84.72;85.55;84.76;85.15;86.66;85.09;86.32;88.96;86.41;85.94;87.2;88.09;
    Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria;71.04;69.68;72.92;82.73;73.11;72.33;72.36;72.21;81.98;81.44;83.03;90.06;83.8;83.02;82.54;83.22;86.66;85.55;87.82;91.86;87.25;87.13;87.66;86.77;64.78;63.36;66.27;76.63;67.51;66.95;67.24;67.37;79.17;78.73;79.61;87.08;81.45;80.51;80.05;80.84;81.82;80.48;83.24;87.99;82.88;83.16;83.99;83.33;76.0;74.78;78.2;87.64;77.8;76.98;76.99;76.83;83.99;83.42;85.5;92.29;85.59;85.01;84.62;85.32;90.49;89.65;91.46;94.97;90.91;90.55;90.98;90.04;
    Agricultura, ganadería y pesca;60.47;58.79;62.4;72.68;64.22;64.14;64.4;64.86;76.5;75.83;77.22;84.85;79.45;79.0;78.23;79.7;79.05;77.53;80.81;85.66;80.83;81.19;82.32;81.37;59.64;58.11;61.15;71.53;63.02;62.8;63.29;63.5;76.36;76.01;76.79;84.41;79.25;78.38;77.96;79.04;78.1;76.44;79.62;84.74;79.52;80.12;81.19;80.35;62.34;60.33;65.25;75.33;67.02;67.22;66.86;67.88;76.79;75.44;78.15;85.82;79.9;80.35;78.81;81.13;81.18;79.97;83.5;87.77;83.87;83.66;84.83;83.66;
    Veterinaria;80.36;79.26;81.73;90.98;80.77;79.58;79.86;79.71;86.07;85.58;87.23;93.84;87.06;86.14;86.15;86.39;93.37;92.61;93.7;96.95;92.78;92.38;92.7;92.27;78.95;77.2;79.13;88.82;78.55;76.91;76.66;77.03;85.74;84.73;85.7;92.73;86.19;85.02;84.52;84.84;92.08;91.12;92.33;95.79;91.13;90.45;90.7;90.8;80.77;79.88;82.52;91.66;81.49;80.5;81.06;80.75;86.16;85.83;87.68;94.19;87.33;86.52;86.75;86.98;93.73;93.06;94.12;97.31;93.31;93.04;93.45;92.84;
    Total Salud y servicios sociales;88.29;87.21;89.14;92.87;88.04;87.94;87.79;87.99;92.22;91.94;92.68;95.63;92.31;92.32;92.25;92.49;95.74;94.85;96.18;97.11;95.37;95.26;95.16;95.14;85.92;84.79;86.4;91.04;85.26;85.0;84.97;85.29;90.76;90.31;90.96;94.57;90.63;90.54;90.55;90.83;94.67;93.9;94.99;96.26;94.07;93.88;93.84;93.9;89.18;88.12;90.18;93.58;89.15;89.14;88.96;89.12;92.75;92.54;93.32;96.03;92.97;93.03;92.94;93.17;96.14;95.21;96.64;97.45;95.89;95.82;95.72;95.65;
    Medicina;90.54;89.83;90.58;95.19;90.54;90.56;90.42;90.66;94.0;93.54;93.84;97.09;94.15;94.32;94.12;94.34;96.32;96.03;96.52;98.05;96.17;96.02;96.07;96.09;89.51;88.89;89.27;94.31;89.44;89.52;89.39;89.29;93.92;93.5;93.55;96.84;93.91;94.16;93.87;93.85;95.3;95.07;95.42;97.38;95.24;95.07;95.22;95.13;90.96;90.22;91.15;95.59;91.06;91.07;90.94;91.37;94.03;93.55;93.97;97.2;94.26;94.39;94.24;94.59;96.74;96.44;97.0;98.35;96.6;96.48;96.49;96.59;
    Enfermería y atención a enfermos;92.94;91.47;93.16;95.31;92.47;92.54;92.58;92.81;94.99;94.91;95.08;97.0;94.71;94.88;94.96;95.16;97.85;96.38;97.98;98.26;97.64;97.53;97.49;97.53;90.89;89.3;90.74;93.89;89.52;89.8;89.48;89.84;93.92;93.86;93.75;96.27;93.19;93.45;93.28;93.49;96.77;95.14;96.79;97.53;96.06;96.09;95.93;96.1;93.4;91.95;93.69;95.62;93.14;93.18;93.33;93.54;95.22;95.14;95.37;97.16;95.05;95.21;95.36;95.56;98.09;96.65;98.24;98.42;97.99;97.86;97.87;97.88;
    Otras ciencias de la Salud;84.78;83.85;85.89;90.64;84.84;84.44;84.34;84.47;89.1;88.8;89.84;93.8;89.53;89.34;89.32;89.41;95.15;94.43;95.6;96.63;94.76;94.51;94.42;94.47;83.23;82.01;83.89;89.12;82.45;81.77;81.81;82.11;88.11;87.44;88.51;92.9;88.0;87.58;87.72;87.96;94.46;93.79;94.78;95.93;93.69;93.36;93.26;93.35;85.62;84.85;86.99;91.49;86.18;85.96;85.79;85.8;89.63;89.52;90.57;94.3;90.37;90.33;90.22;90.22;95.53;94.78;96.05;97.02;95.36;95.17;95.1;95.1;
    Trabajo social y orientación;83.94;82.8;88.04;89.64;82.94;83.53;82.4;82.43;92.78;92.58;94.72;95.68;92.39;92.41;91.79;92.4;90.46;89.43;92.94;93.69;89.77;90.4;89.77;89.21;77.37;76.93;83.0;84.22;77.49;77.65;76.93;77.78;90.03;90.51;92.68;93.56;90.07;89.87;89.47;90.44;85.94;85.0;89.56;90.02;86.03;86.4;85.98;86.0;85.1;83.83;88.98;90.68;84.07;84.78;83.56;83.43;93.24;92.92;95.09;96.07;92.85;92.92;92.26;92.8;91.26;90.21;93.57;94.4;90.54;91.24;90.57;89.9;
