Anio,Tasa,Curso,Cuatrimestre,Asignatura,Valor,Convocatoria,Tipo,Itinerario
2019-2020,Exito,Primero,Primero,Programación I,62.19,Enero,Obligatoria,General
2019-2020,Rendimiento,Primero,Primero,Programación I,57.58,Enero,Obligatoria,General
2019-2020,Abandono,Primero,Primero,Programación I,18.66,Enero,Obligatoria,General
2019-2020,Exito,Primero,Primero,Cálculo,41.19,Enero,Obligatoria,General
2019-2020,Rendimiento,Primero,Primero,Cálculo,41.09,Enero,Obligatoria,General
2019-2020,Abandono,Primero,Primero,Cálculo,30.05,Enero,Obligatoria,General
2019-2020,Exito,Primero,Segundo,Álgebra Lineal,47.22,Mayo,Obligatoria,General
2019-2020,Rendimiento,Primero,Segundo,Álgebra Lineal,40.8,Mayo,Obligatoria,General
2019-2020,Abandono,Primero,Segundo,Álgebra Lineal,21.62,Mayo,Obligatoria,General
2019-2020,Exito,Primero,Segundo,Física para Informática,54.16,Mayo,Obligatoria,General
2019-2020,Rendimiento,Primero,Segundo,Física para Informática,47.8,Mayo,Obligatoria,General
2019-2020,Abandono,Primero,Segundo,Física para Informática,22.44,Mayo,Obligatoria,General
2019-2020,Exito,Primero,Primero,Fundamentos de Computadores,57.55,Enero,Obligatoria,General
2019-2020,Rendimiento,Primero,Primero,Fundamentos de Computadores,47.65,Enero,Obligatoria,General
2019-2020,Abandono,Primero,Primero,Fundamentos de Computadores,23.41,Enero,Obligatoria,General
2019-2020,Exito,Primero,Segundo,Estructura de Computadores,60.86,Mayo,Obligatoria,General
2019-2020,Rendimiento,Primero,Segundo,Estructura de Computadores,52.18,Mayo,Obligatoria,General
2019-2020,Abandono,Primero,Segundo,Estructura de Computadores,15.26,Mayo,Obligatoria,General
2019-2020,Exito,Primero,Primero,Lógica y Discreta,52.92,Enero,Obligatoria,General
2019-2020,Rendimiento,Primero,Primero,Lógica y Discreta,46.76,Enero,Obligatoria,General
2019-2020,Abandono,Primero,Primero,Lógica y Discreta,20.27,Enero,Obligatoria,General
2019-2020,Exito,Primero,Segundo,Empresa y Economía,80.98,Mayo,Obligatoria,General
2019-2020,Rendimiento,Primero,Segundo,Empresa y Economía,74.28,Mayo,Obligatoria,General
