Codigo;Tipologia;Curso;Anio;Matriculados;Asignatura;Tasa_Rendimiento;Tasa_Exito
139261011;FORMACIÓN BÁSICA;1;2012-13;130;INFORMÁTICA BÁSICA;68.5;84.8
139261011;FORMACIÓN BÁSICA;1;2023-24;255;INFORMÁTICA BÁSICA;50.6;72.9
139261011;FORMACIÓN BÁSICA;1;2020-21;145;INFORMÁTICA BÁSICA;33.1;47.1
139261011;FORMACIÓN BÁSICA;1;2015-16;147;INFORMÁTICA BÁSICA;61.9;74.0
139261011;FORMACIÓN BÁSICA;1;2017-18;178;INFORMÁTICA BÁSICA;75.8;86.0
139261011;FORMACIÓN BÁSICA;1;2025(*);214;INFORMÁTICA BÁSICA;35.0;52.1
139261011;FORMACIÓN BÁSICA;1;2022-23;239;INFORMÁTICA BÁSICA;37.7;64.3
139261011;FORMACIÓN BÁSICA;1;2021-22;213;INFORMÁTICA BÁSICA;37.1;48.8
139261011;FORMACIÓN BÁSICA;1;2024-25;225;INFORMÁTICA BÁSICA;53.3;70.2
139261011;FORMACIÓN BÁSICA;1;2011-12;146;INFORMÁTICA BÁSICA;51.4;72.8
139261011;FORMACIÓN BÁSICA;1;2018-19;168;INFORMÁTICA BÁSICA;72.6;80.3
139261011;FORMACIÓN BÁSICA;1;2013-14;152;INFORMÁTICA BÁSICA;68.4;83.2
139261011;FORMACIÓN BÁSICA;1;2019-20;159;INFORMÁTICA BÁSICA;86.8;93.2
139261011;FORMACIÓN BÁSICA;1;2010-11;243;INFORMÁTICA BÁSICA;62.6;78.8
139261011;FORMACIÓN BÁSICA;1;2014-15;172;INFORMÁTICA BÁSICA;78.5;87.1
139261011;FORMACIÓN BÁSICA;1;2016-17;164;INFORMÁTICA BÁSICA;65.9;79.4
139261012;FORMACIÓN BÁSICA;1;2010-11;222;ÁLGEBRA;23.9;54.1
139261012;FORMACIÓN BÁSICA;1;2018-19;231;ÁLGEBRA;56.7;73.6
139261012;FORMACIÓN BÁSICA;1;2023-24;171;ÁLGEBRA;67.8;86.6
139261012;FORMACIÓN BÁSICA;1;2017-18;254;ÁLGEBRA;48.0;63.5
139261012;FORMACIÓN BÁSICA;1;2021-22;173;ÁLGEBRA;75.7;88.5
139261012;FORMACIÓN BÁSICA;1;2019-20;194;ÁLGEBRA;74.2;83.7
139261012;FORMACIÓN BÁSICA;1;2025(*);184;ÁLGEBRA;47.8;59.9
139261012;FORMACIÓN BÁSICA;1;2024-25;170;ÁLGEBRA;59.4;69.7
139261012;FORMACIÓN BÁSICA;1;2011-12;202;ÁLGEBRA;67.8;92.6
139261012;FORMACIÓN BÁSICA;1;2020-21;176;ÁLGEBRA;80.7;93.4
139261012;FORMACIÓN BÁSICA;1;2016-17;246;ÁLGEBRA;36.2;49.4
139261012;FORMACIÓN BÁSICA;1;2022-23;167;ÁLGEBRA;75.4;81.8
139261012;FORMACIÓN BÁSICA;1;2015-16;239;ÁLGEBRA;32.6;56.9
139261012;FORMACIÓN BÁSICA;1;2014-15;244;ÁLGEBRA;32.8;52.6
139261012;FORMACIÓN BÁSICA;1;2013-14;201;ÁLGEBRA;40.8;66.1
139261012;FORMACIÓN BÁSICA;1;2012-13;130;ÁLGEBRA;24.6;47.1
139261013;FORMACIÓN BÁSICA;1;2022-23;207;CÁLCULO;29.0;43.8
139261013;FORMACIÓN BÁSICA;1;2013-14;237;CÁLCULO;44.3;66.9
139261013;FORMACIÓN BÁSICA;1;2020-21;188;CÁLCULO;78.2;96.1
139261013;FORMACIÓN BÁSICA;1;2010-11;268;CÁLCULO;28.7;57.5
139261013;FORMACIÓN BÁSICA;1;2014-15;259;CÁLCULO;45.2;60.0
139261013;FORMACIÓN BÁSICA;1;2025(*);274;CÁLCULO;24.5;41.6
139261013;FORMACIÓN BÁSICA;1;2018-19;236;CÁLCULO;30.9;63.5
139261013;FORMACIÓN BÁSICA;1;2015-16;222;CÁLCULO;37.8;60.4
139261013;FORMACIÓN BÁSICA;1;2019-20;248;CÁLCULO;67.7;87.5
139261013;FORMACIÓN BÁSICA;1;2021-22;177;CÁLCULO;48.0;61.2
139261013;FORMACIÓN BÁSICA;1;2024-25;262;CÁLCULO;38.2;52.6
139261013;FORMACIÓN BÁSICA;1;2016-17;223;CÁLCULO;41.3;60.5
139261013;FORMACIÓN BÁSICA;1;2017-18;228;CÁLCULO;44.3;64.7
139261013;FORMACIÓN BÁSICA;1;2011-12;233;CÁLCULO;33.9;71.8
